date,modeath,year,all,season
1980,1,1980,176364,
1980.083333,2,1980,173971,
1980.166667,3,1980,177360,
1980.25,4,1980,160077,
1980.333333,5,1980,160271,
1980.416667,6,1980,154435,
1980.5,7,1980,163698,
1980.583333,8,1980,157587,
1980.666667,9,1980,151167,
1980.75,10,1980,163792,
1980.833333,11,1980,164181,
1980.916667,12,1980,189648,1980/1981
1981,1,1981,203155,1980/1981
1981.083333,2,1981,161703,1980/1981
1981.166667,3,1981,169316,1980/1981
1981.25,4,1981,158936,1980/1981
1981.333333,5,1981,162394,
1981.416667,6,1981,154561,
1981.5,7,1981,159150,
1981.583333,8,1981,156766,
1981.666667,9,1981,152494,
1981.75,10,1981,165700,
1981.833333,11,1981,161873,
1981.916667,12,1981,174665,1981/1982
1982,1,1982,179941,1981/1982
1982.083333,2,1982,154698,1981/1982
1982.166667,3,1982,173498,1981/1982
1982.25,4,1982,169094,1981/1982
1982.333333,5,1982,166805,
1982.416667,6,1982,156482,
1982.5,7,1982,162868,
1982.583333,8,1982,158167,
1982.666667,9,1982,155225,
1982.75,10,1982,165926,
1982.833333,11,1982,161681,
1982.916667,12,1982,172895,1982/1983
1983,1,1983,181911,1982/1983
1983.083333,2,1983,168207,1982/1983
1983.166667,3,1983,178910,1982/1983
1983.25,4,1983,169691,1982/1983
1983.333333,5,1983,167299,
1983.416667,6,1983,158058,
1983.5,7,1983,164849,
1983.583333,8,1983,160254,
1983.666667,9,1983,155737,
1983.75,10,1983,166562,
1983.833333,11,1983,166592,
1983.916667,12,1983,183492,1983/1984
1984,1,1984,183650,1983/1984
1984.083333,2,1984,169350,1983/1984
1984.166667,3,1984,181524,1983/1984
1984.25,4,1984,171596,1983/1984
1984.333333,5,1984,169759,
1984.416667,6,1984,162136,
1984.5,7,1984,161795,
1984.583333,8,1984,160854,
1984.666667,9,1984,158496,
1984.75,10,1984,168142,
1984.833333,11,1984,170460,
1984.916667,12,1984,184014,1984/1985
1985,1,1985,201571,1984/1985
1985.083333,2,1985,184241,1984/1985
1985.166667,3,1985,182840,1984/1985
1985.25,4,1985,169015,1984/1985
1985.333333,5,1985,168516,
1985.416667,6,1985,160978,
1985.5,7,1985,164846,
1985.583333,8,1985,162657,
1985.666667,9,1985,161700,
1985.75,10,1985,172455,
1985.833333,11,1985,170230,
1985.916667,12,1985,189449,1985/1986
1986,1,1986,194821,1985/1986
1986.083333,2,1986,178462,1985/1986
1986.166667,3,1986,190169,1985/1986
1986.25,4,1986,172636,1985/1986
1986.333333,5,1986,172316,
1986.416667,6,1986,163671,
1986.5,7,1986,170119,
1986.583333,8,1986,166137,
1986.666667,9,1986,163223,
1986.75,10,1986,172719,
1986.833333,11,1986,174583,
1986.916667,12,1986,188521,1986/1987
1987,1,1987,196469,1986/1987
1987.083333,2,1987,170542,1986/1987
1987.166667,3,1987,186917,1986/1987
1987.25,4,1987,175435,1986/1987
1987.333333,5,1987,175052,
1987.416667,6,1987,167496,
1987.5,7,1987,172148,
1987.583333,8,1987,170241,
1987.666667,9,1987,165017,
1987.75,10,1987,180919,
1987.833333,11,1987,175853,
1987.916667,12,1987,189664,1987/1988
1988,1,1988,200856,1987/1988
1988.083333,2,1988,191812,1987/1988
1988.166667,3,1988,198260,1987/1988
1988.25,4,1988,176484,1987/1988
1988.333333,5,1988,176962,
1988.416667,6,1988,168260,
1988.5,7,1988,172402,
1988.583333,8,1988,171669,
1988.666667,9,1988,166405,
1988.75,10,1988,179672,
1988.833333,11,1988,175407,
1988.916667,12,1988,192413,1988/1989
1989,1,1989,198049,1988/1989
1989.083333,2,1989,182613,1988/1989
1989.166667,3,1989,193006,1988/1989
1989.25,4,1989,174930,1988/1989
1989.333333,5,1989,175687,
1989.416667,6,1989,165367,
1989.5,7,1989,169230,
1989.583333,8,1989,168360,
1989.666667,9,1989,165438,
1989.75,10,1989,178927,
1989.833333,11,1989,176018,
1989.916667,12,1989,205668,1989/1990
1990,1,1990,216978,1989/1990
1990.083333,2,1990,178994,1989/1990
1990.166667,3,1990,186174,1989/1990
1990.25,4,1990,174473,1989/1990
1990.333333,5,1990,174770,
1990.416667,6,1990,169213,
1990.5,7,1990,171545,
1990.583333,8,1990,168671,
1990.666667,9,1990,166115,
1990.75,10,1990,177677,
1990.833333,11,1990,176717,
1990.916667,12,1990,189995,1990/1991
1991,1,1991,195402,1990/1991
1991.083333,2,1991,175955,1990/1991
1991.166667,3,1991,192025,1990/1991
1991.25,4,1991,178858,1990/1991
1991.333333,5,1991,178440,
1991.416667,6,1991,170367,
1991.5,7,1991,173986,
1991.583333,8,1991,170986,
1991.666667,9,1991,167056,
1991.75,10,1991,180869,
1991.833333,11,1991,183526,
1991.916667,12,1991,205012,1991/1992
1992,1,1992,209698,1991/1992
1992.083333,2,1992,179453,1991/1992
1992.166667,3,1992,186294,1991/1992
1992.25,4,1992,176866,1991/1992
1992.333333,5,1992,178685,
1992.416667,6,1992,170758,
1992.5,7,1992,173511,
1992.583333,8,1992,173229,
1992.666667,9,1992,169216,
1992.75,10,1992,182021,
1992.833333,11,1992,179953,
1992.916667,12,1992,199025,1992/1993
1993,1,1993,200769,1992/1993
1993.083333,2,1993,187977,1992/1993
1993.166667,3,1993,212519,1992/1993
1993.25,4,1993,189926,1992/1993
1993.333333,5,1993,185409,
1993.416667,6,1993,175489,
1993.5,7,1993,181364,
1993.583333,8,1993,176503,
1993.666667,9,1993,173159,
